,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation,Ring,Area_to_rooms
10073,20499999.0,Secondary,Авиамоторная,7.0,Moscow,4,79.8,54.1,8.0,3,6,European-style renovation,Second_ring,19.95
10076,30700000.0,Secondary,Стрешнево,11.0,Moscow,4,102.5,73.8,17.0,3,10,European-style renovation,Third_ring,25.625
10077,20290000.0,Secondary,Прокшино,13.0,Moscow,4,86.0,45.0,22.0,14,18,Without renovation,Beyond_rings,21.5
10080,39000000.0,Secondary,Фонвизинская,9.0,Moscow,4,107.1,62.6,17.2,10,17,Designer,Beyond_rings,26.775
10081,45000000.0,Secondary,Коломенская,7.0,Moscow,4,123.0,66.0,19.0,2,24,European-style renovation,Third_ring,30.75
10086,25999990.0,Secondary,Прокшино,22.0,Moscow,4,104.7,63.6,14.9,11,15,Designer,Beyond_rings,26.175
10089,21500000.0,Secondary,Лермонтовский проспект,10.0,Moscow,4,98.4,51.9,14.8,3,22,Cosmetic,Beyond_rings,24.6
10107,15700000.0,Secondary,Речной вокзал,25.0,Moscow,4,62.6,45.6,7.0,3,9,Without renovation,Beyond_rings,15.65
10109,18556000.0,Secondary,Коммунарка,20.0,Moscow,4,111.3,70.2,11.7,14,17,Cosmetic,Beyond_rings,27.825
10114,45000000.0,Secondary,Маяковская,3.0,Moscow,4,90.0,47.6,14.1,6,8,European-style renovation,Sadovoe,22.5
10115,25000000.0,Secondary,Площадь Ильича,12.0,Moscow,4,71.5,52.3,7.2,1,5,Cosmetic,Second_ring,17.875
10118,31500000.0,Secondary,Тропарево,23.0,Moscow,4,96.0,64.0,10.0,16,16,Cosmetic,Beyond_rings,24.0
10123,27000000.0,Secondary,Динамо,8.0,Moscow,5,66.2,40.0,20.0,7,6,Without renovation,Second_ring,13.24
10135,23000000.0,Secondary,Улица Скобелевская,10.0,Moscow,4,95.5,61.6,10.1,5,12,Cosmetic,Beyond_rings,23.875
10140,27990000.0,Secondary,Озёрная,9.0,Moscow,4,101.0,61.0,10.0,10,22,European-style renovation,Beyond_rings,25.25
10144,18500000.0,Secondary,Хорошёвская,11.0,Moscow,4,73.0,50.0,12.0,12,23,Without renovation,Second_ring,18.25
10145,42000000.0,Secondary,Динамо,5.0,Moscow,4,105.0,80.0,10.0,2,6,Cosmetic,Second_ring,26.25
10147,45000000.0,Secondary,Чкаловская,7.0,Moscow,4,90.0,54.0,11.4,3,9,European-style renovation,Beyond_rings,22.5
10151,32100000.0,Secondary,Алма-Атинская,4.0,Moscow,5,112.5,67.1,10.4,2,16,European-style renovation,Beyond_rings,22.5
10152,45000000.0,Secondary,Нагатинская,17.0,Moscow,4,130.0,67.9,14.0,22,33,Designer,Beyond_rings,32.5
10154,37990000.0,Secondary,Народное Ополчение,12.0,Moscow,4,95.0,76.0,16.0,20,5,Without renovation,Third_ring,23.75
10157,17700000.0,Secondary,Свиблово,20.0,Moscow,4,71.0,49.9,7.4,2,5,Cosmetic,Beyond_rings,17.75
10158,41000000.0,Secondary,Площадь Ильича,11.0,Moscow,4,95.0,51.0,11.0,4,26,Without renovation,Second_ring,23.75
10159,24000000.0,Secondary,Выхино,10.0,Moscow,4,112.0,58.8,15.0,14,14,Cosmetic,Beyond_rings,28.0
10162,30000000.0,Secondary,Кутузовская,7.0,Moscow,4,112.0,80.0,10.0,2,5,European-style renovation,Second_ring,28.0
10163,40000000.0,Secondary,Студенческая,2.0,Moscow,4,105.0,69.0,8.0,5,6,Without renovation,Second_ring,26.25
10165,35990000.0,Secondary,Кунцевская,16.0,Moscow,4,130.0,67.9,15.0,13,22,Without renovation,Third_ring,32.5
10166,35000000.0,Secondary,Мичуринский проспект,12.0,Moscow,4,111.8,63.3,9.8,5,14,Cosmetic,Third_ring,27.95
10179,17500000.0,Secondary,Владыкино,13.0,Moscow,4,78.8,51.8,8.2,2,12,European-style renovation,Third_ring,19.7
10183,14500000.0,Secondary,Теплый Стан,25.0,Moscow,4,62.5,46.2,5.9,6,9,Cosmetic,Beyond_rings,15.625
